"","wk","cr","cr_other","trend","lcr","lcro","post","wk_num"
"142",2016-09-18,42,1333,142,3.73766961828337,7.19518732017871,0,"38"
"143",2016-09-25,56,1238,143,4.02535169073515,7.12125245324454,0,"39"
"144",2016-10-02,54,1228,144,3.98898404656427,7.11314210870709,0,"40"
"145",2016-10-09,33,1122,145,3.49650756146648,7.02286808608264,0,"41"
"146",2016-10-16,47,1103,146,3.85014760171006,7.0057890192535,0,"42"
"147",2016-10-23,44,1205,147,3.78418963391826,7.09423484592476,0,"43"
"148",2016-10-30,42,1208,148,3.73766961828337,7.09672137849476,0,"44"
"149",2016-11-06,48,1268,149,3.87120101090789,7.14519613499717,0,"45"
"150",2016-11-13,44,1370,150,3.78418963391826,7.22256601882217,0,"46"
"151",2016-11-20,40,1285,151,3.68887945411394,7.15851399732932,0,"47"
"152",2016-11-27,40,1571,152,3.68887945411394,7.35946763825562,0,"48"
"153",2016-12-04,35,1231,153,3.55534806148941,7.11558212618445,0,"49"
"154",2016-12-11,42,1474,154,3.73766961828337,7.29573507274928,0,"50"
"155",2016-12-18,39,1416,155,3.66356164612965,7.25559127425367,0,"51"
"156",2016-12-25,58,1246,156,4.06044301054642,7.1276936993474,0,"52"
"157",2017-01-01,45,2032,157,3.80666248977032,7.61677580869837,0,"1"
"158",2017-01-08,48,1376,158,3.87120101090789,7.22693601849329,0,"2"
"159",2017-01-15,33,1609,159,3.49650756146648,7.38336814699238,0,"3"
"160",2017-01-22,35,1429,160,3.55534806148941,7.26473017792987,0,"4"
"161",2017-01-29,40,934,161,3.68887945411394,6.83947643822884,0,"5"
"162",2017-02-05,48,907,162,3.87120101090789,6.81014245011514,0,"6"
"163",2017-02-12,33,992,163,3.49650756146648,6.89972310728487,0,"7"
"164",2017-02-19,41,1523,164,3.71357206670431,7.32843735289516,0,"8"
"165",2017-02-26,39,1192,165,3.66356164612965,7.0833878476253,0,"9"
"166",2017-03-05,35,1046,166,3.55534806148941,6.95272864462487,0,"10"
"167",2017-03-12,48,893,167,3.87120101090789,6.7945865808765,0,"11"
"168",2017-03-19,33,1045,168,3.49650756146648,6.95177216439891,0,"12"
"169",2017-03-26,37,1010,169,3.61091791264422,6.9177056098353,0,"13"
"170",2017-04-02,35,969,170,3.55534806148941,6.87626461189077,0,"14"
"171",2017-04-09,46,989,171,3.8286413964891,6.89669433162271,0,"15"
"172",2017-04-16,47,1052,172,3.85014760171006,6.95844839329766,0,"16"
"173",2017-04-23,40,1082,173,3.68887945411394,6.98656645940643,0,"17"
"174",2017-04-30,32,1087,174,3.46573590279973,6.99117688712121,0,"18"
"175",2017-05-07,32,1174,175,3.46573590279973,7.06817200038804,0,"19"
"176",2017-05-14,34,1021,176,3.52636052461616,6.92853781816467,0,"20"
"177",2017-05-21,49,1007,177,3.89182029811063,6.91473089271856,0,"21"
"178",2017-05-28,41,1046,178,3.71357206670431,6.95272864462487,0,"22"
"179",2017-06-04,32,1057,179,3.46573590279973,6.96318998587024,0,"23"
"180",2017-06-11,39,999,180,3.66356164612965,6.90675477864855,0,"24"
"181",2017-06-18,35,1112,181,3.55534806148941,7.01391547481053,0,"25"
"182",2017-06-25,43,1142,182,3.76120011569356,7.04053639021596,0,"26"
